Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present,Web Description,Hacking/IT Incident,Other,Unauthorized Access/Disclosure,Theft,Improper Disposal,Loss,Unknown,Name of Covered Entity clean,Year,Month,Day,quarter,dayofweek,is_weekend,weekofyear,Desktop Computer,Electronic Medical Record,Email,Laptop,Network Server,Other Portable Electronic Device,Paper/Films,Yes,No
Arthritis & Osteoporosis Consultants of the Carolinas,NC,Healthcare Provider,3930.0,2018-11-09,Improper Disposal,Paper/Films,No,"On September 10, 2018, an employee of the covered entity (CE), Arthritis and Osteoporosis Consultants of the Carolinas, improperly disposed of protected health information (PHI) in a trash can instead of the shred bin.  The breach affected 3,930 individuals and included patients’ names, dates of birth, insurance information, and treating physicians.  For some patients, the PHI included the name of an infusion drug, and for Medicare patients, it included their social security numbers.  To prevent a similar breach from happening in the future, the CE provided additional shred bins throughout the office, briefed all their employees on the incident, and advised them on best practices for handling and disposing of PHI.  Additionally, the CE provided sanctions and retraining for the clerk responsible for the breach.  In response to OCR’s investigation, the CE reviewed its data retention and destruction policies.  The CE provided breach notification HHS, affected individuals, and the media.",0.0,0,0.0,0.0,1.0,0.0,0.0,Arthritis  Osteoporosis Consultants of the Carolinas,2018.0,11.0,9.0,4.0,4.0,0,45.0,0,0,0,0,0,0,1,0,1
Yale University,CT,Healthcare Provider,1102.0,2018-10-17,Unauthorized Access/Disclosure,Paper/Films,No,"The covered entity (CE), Yale University, discovered in September 2018, that it sent letters to wrong addresses due to a collating error, affecting 1,102 individuals.  The types of protected health information (PHI) involved in the incident included demographic and clinical information.  OCR reviewed the CE’s policies and procedures related to the breach and was satisfied that they were in compliance with the Privacy Rule.  Following the breach, the CE sanctioned and retrained employees and updated its mailing list procedures and forms so as to prevent a similar type of error happening in the future.  OCR obtained assurances that the CE provided breach notification to individuals affected by this breach and the media in accordance with the Breach Notification Rule.",0.0,0,1.0,0.0,0.0,0.0,0.0,Yale University,2018.0,10.0,17.0,4.0,2.0,0,42.0,0,0,0,0,0,0,1,0,1
West Sound Treatment Center,WA,Healthcare Provider,2300.0,2018-10-11,Unauthorized Access/Disclosure,Desktop Computer,No,"The covered entity’s (CE) Operations Director allowed her husband, a non-employee to access the CE’s office and computer in an effort to aid her with her work.  The computer had access to the CE’s electronic medical records system which contained approximately 2,531 individuals’ electronic protected health information (ePHI).  The ePHI potentially affected by the breach included names, social security numbers, addresses, driver’s license numbers, dates of birth, diagnoses, lab results and medications.  In response to the breach incident, the CE sanctioned its workforce member.  Following OCR’s investigation, the CE provided breach notification to the affected individuals and the media, updated its policies and procedures, and retrained workforce members.

",0.0,0,1.0,0.0,0.0,0.0,0.0,West Sound Treatment Center,2018.0,10.0,11.0,4.0,3.0,0,41.0,1,0,0,0,0,0,0,0,1
Blue Cross and Blue Shield of North Carolina (Blue Cross NC),NC,Health Plan,631.0,2018-10-11,Unauthorized Access/Disclosure,Paper/Films,No,"In response to member telephone complaints, the covered entity (CE), Blue Cross Blue Shield of North Carolina, investigated and determined that on September 26, 2018, the CE mistakenly sent low income subsidy (LIS) letters to the wrong members due to an employee’s failure to follow established quality review procedures.  Each letter contained the name and Blue Cross NC ID number for another member.  Following the incident, the CE sanctioned the responsible staff member by coaching her and tasking her with creating a new process for sending the LIS letters.  As a result of OCR’s investigation, the CE updated its policies and procedures by adopting the new process for mailing out the LIS letters. The CE also provided breach notification to HHS, affected individuals, and the media.
",0.0,0,1.0,0.0,0.0,0.0,0.0,Blue Cross  Blue Shield of North Carolina Blue Cross NC,2018.0,10.0,11.0,4.0,3.0,0,41.0,0,0,0,0,0,0,1,0,1
West Sound Treatment Center,WA,Healthcare Provider,2300.0,2018-10-11,Theft,Laptop,No,"On June 26, 2018, a case manager’s laptop computer and housing participant rent information was stolen from her parked vehicle.  The computer did not contain electronic protected health information (ePHI), but potentially provided access to the covered entity's (CE’s) electronic medical records which contained approximately 2,531 individuals’ ePHI.  The ePHI potentially affected by the breach included names, social security numbers, addresses, driver’s license numbers, dates of birth, diagnoses, lab results and medications.  In response to the breach incident, the CE sanctioned its workforce member.  Following OCR’s investigation, the CE provided breach notification to the affected individuals and the media, updated its policies and procedures, and retrained its workforce.",0.0,0,0.0,1.0,0.0,0.0,0.0,West Sound Treatment Center,2018.0,10.0,11.0,4.0,3.0,0,41.0,0,0,0,1,0,0,0,0,1
Hormone Logics,FL,Healthcare Provider,3000.0,2018-10-10,Theft,"Desktop Computer, Email, Laptop, Network Server, Other Portable Electronic Device, Paper/Films",No,"After conducting a review of this breach report, OCR has determined that Hormone Logics is not a “covered entity.""",0.0,1,0.0,1.0,0.0,0.0,0.0,Hormone Logics,2018.0,10.0,10.0,4.0,2.0,0,41.0,1,0,1,1,1,1,1,0,1
University Of Missouri Health,MO,Healthcare Provider,706.0,2018-10-05,Unauthorized Access/Disclosure,Paper/Films,No,"Due to an incorrect mail merge, on June 8, 2018, the covered entity (CE) sent letters to 706 patients in the Ear, Nose, and Throat Clinic to the wrong addresses.  The breached protected health information (PHI) included names, addresses, zip codes, and treatment information.  The CE provided breach notification to HHS, affected individuals, and the media.  Following the breach, the CE sanctioned and retrained the workforce members whose actions led to the breach.  It also provided education on verifying the information contained in a spreadsheet and ensuring that any changes made to data received does not impact the integrity of the original data. The CE also advised responsible staff that the printing services department should be provided a pre-sorted spreadsheet for future mailings.  OCR obtained documented assurances that the CE implemented the corrective actions noted above.    ",0.0,0,1.0,0.0,0.0,0.0,0.0,University Of Missouri Health,2018.0,10.0,5.0,4.0,4.0,0,40.0,0,0,0,0,0,0,1,0,1
New Mexico Retiree Health Care Authority,NM,Health Plan,586.0,2018-10-02,Unauthorized Access/Disclosure,Paper/Films,No,"On September 27, 2018, the covered entity (CE), New Mexico Retiree Health Care Authority, mailed a summary of benefits packets to approximately 586   members, including the members’ names, lists of dependents, and the last four digits of their social security numbers, to the wrong address as a result of human error.  To mitigate the impermissible disclosures, the CE implemented appropriate safeguards and updated its HIPAA policies and training. The CE provided breach notification to HHS and affected individuals and provided individuals with free credit monitoring. OCR obtained assurances that the CE implemented the corrective action steps listed above.",0.0,0,1.0,0.0,0.0,0.0,0.0,New Mexico Retiree Health Care Authority,2018.0,10.0,2.0,4.0,1.0,0,40.0,0,0,0,0,0,0,1,0,1
Gentle Dentistry Group PC,NJ,Healthcare Provider,831.0,2018-09-26,Unauthorized Access/Disclosure,Email,No,"A workforce member of the covered entity (CE), Gentle Dentistry Group, emailed a product promotion to 831 patients, disclosing recipients’ email addresses to each other.  The CE provided breach notification to HHS, the media, and the affected individuals, including any required substitute notice to the affected individuals.  Following the breach, the CE updated its practices to prohibit sending an email to multiple patients, provided a refresher training to its workforce regarding its email protocols, and sanctioned the workforce member responsible for the breach incident.  OCR obtained assurances that the CE implemented the corrective actions listed.  Additionally, the CE is expected to conduct a risk analysis and implement a corresponding remediation plan.",0.0,0,1.0,0.0,0.0,0.0,0.0,Gentle Dentistry Group ,2018.0,9.0,26.0,3.0,2.0,0,39.0,0,0,1,0,0,0,0,0,1
Southwest Oregon IPA,OR,Health Plan,1449.0,2018-09-18,Unauthorized Access/Disclosure,Paper/Films,No,"On or about July 21, 2017, or July 25, 2018, the covered entity (CE), Southwest Oregon IPA, sent open-faced postcard to 1,449 plan members asking them to return the free colon cancer test that the plan sent to them one month prior.  The postcards contained members’ names, addresses, PCP clinics, and requests to send back the tests.  The CE provided breach notification to HHS, affected individuals, and the media.  As a result of OCR’s investigation, the CE provided OCR information that it implemented a document control process.  The CE ceased using postcards for member mailings and updated its HIPAA Privacy Manual to reflect the changes.  OCR obtained assurances that the CE implemented the corrective actions listed here.",0.0,0,1.0,0.0,0.0,0.0,0.0,Southwest Oregon IPA,2018.0,9.0,18.0,3.0,1.0,0,38.0,0,0,0,0,0,0,1,0,1
Blue Cross & Blue Shield of Rhode Island,RI,Health Plan,1567.0,2018-09-13,Unauthorized Access/Disclosure,Paper/Films,Yes,"RedCard, a business associate (BA) that provides mailing services to Blue Cross & Blue Shield of Rhode Island, the covered entity (CE), impermissibly disclosed protected health information (PHI) when it improperly consolidated explanations of benefits (EOB) in mailings, causing EOB documents for different individuals who resided at the same address (i.e., family members) to be mailed together.  The breach affected the PHI of 1,567 individuals and included names, plan identification numbers, healthcare provider’s names, types of medical service provided, and claim information.  Following the breach, the BA ceased consolidating EOBs.  The CE provided breach notification to HHS, the media, and the affected individuals.  OCR reviewed the CE’s BA agreement with the BA and it appeared to be in compliance with the Privacy Rule.",0.0,0,1.0,0.0,0.0,0.0,0.0,Blue Cross  Blue Shield of Rhode Island,2018.0,9.0,13.0,3.0,3.0,0,37.0,0,0,0,0,0,0,1,1,0
Leominster Dermatology LLP,MA,Healthcare Provider,500.0,2018-09-13,Unauthorized Access/Disclosure,Paper/Films,No,"OCR opened an investigation of the covered entity (CE), New England Dermatology P.C., after it reported that one of its locations, Northampton,  disposed of patient records containing protected health information (PHI) without shredding them prior to disposal in a dumpster.  The PHI included demographic and clinical information.  The CE provided breach notification to HHS, affected individuals, and the media and provided substitute notice as appropriate.  Following the breach, the CE implemented a new HIPAA compliant procedure for disposal of PHI and trained staff on its new  procedures.  CE also hired a new business association (BA) to shred all records containing PHI and executed a HIPAA compliant BA agreement. As a result of OCR’s investigation, the CE implemented new policies and procedures.",0.0,0,1.0,0.0,0.0,0.0,0.0,Leominster Dermatology ,2018.0,9.0,13.0,3.0,3.0,0,37.0,0,0,0,0,0,0,1,0,1
"Simonian Sports Medicine Clinic, A Medical Corporation",CA,Healthcare Provider,1541.0,2018-09-10,Unauthorized Access/Disclosure,Network Server,Yes,"An ex-employee of a business associate (BA) impermissibly accessed the BA's website containing the electronic protected health information (ePHI) of 1,541 patients of the covered entity (CE). The ePHI affected by this incident included patients’ names, dates of birth, addresses, and other identifiers. The CE provided breach notification to HHS, and the BA provided breach notification to the affected individuals and the media.  Following the breach, the CE changed its process for verifying patients’ insurance coverage, provided additional HIPAA training to its BAs, and documented the impermissible disclosure in the affected patients’ records for accounting of disclosure purposes. In addition, the CE revised BA agreements, policies and procedures, conducted a new annual risk analysis of its ePHI, and implemented encryption and tools to monitor internet traffic and compliance.  OCR obtained assurances that the CE implemented the corrective actions listed.",0.0,0,1.0,0.0,0.0,0.0,0.0,Simonian Sports Medicine Clinic A Medical Corporation,2018.0,9.0,10.0,3.0,0.0,0,37.0,0,0,0,0,1,0,0,1,0
TMC HealthCare,AZ,Healthcare Provider,1776.0,2018-09-07,Unauthorized Access/Disclosure,Paper/Films,No,"On July 12, 2018, the covered entity (CE), TMC HealthCare, discovered that paper files containing the protected health information (PHI) of 1,776 individuals had inadvertently been left unsecured in an unlocked suite used for storage.  The types of unsecured PHI involved in the incident included patients' names, dates of birth, addresses, medical record numbers, insurance ID or Social Security numbers, diagnoses, treatment information, provider information, medications, test results, and other clinical information. Following discovery of the incident, the CE secured the files and provided breach notification to affected individuals, prominent media outlets, and the Secretary of HHS.  OCR obtained assurances that the CE implemented the corrective action steps listed above.",0.0,0,1.0,0.0,0.0,0.0,0.0,TMC HealthCare,2018.0,9.0,7.0,3.0,4.0,0,36.0,0,0,0,0,0,0,1,0,1
"Rockdale Blackhawk, LLC d/b/a Little River Healthcare",TX,Healthcare Provider,1494.0,2018-09-07,Unauthorized Access/Disclosure,"Electronic Medical Record, Other",No,"Little River Healthcare, which was a covered entity (CE), discovered that on July 12, 2018, two of its providers shared their login credentials with unauthorized third- party individuals (transcriptionists) and provided access to patients’ protected health information (PHI) through the CE's electronic medical record system.  The PHI potentially affected included the names, dates of birth, social security numbers, addresses, and treatment information of approximately 1,494 individuals.  The CE reported that it filed for Chapter 11 bankruptcy on July 24, 2018, and on December 7, 2018, the Chapter 11 bankruptcy case was converted to a Chapter 7 bankruptcy case.  Additionally, the CE reported that it began an internal corporate wind down of its business affairs. Further, on December 7, 2018, the CE ceased operations as an active business and all facilities were shut down. OCR obtained documented assurances related to the bankruptcy and corporate wind down. ",0.0,1,1.0,0.0,0.0,0.0,0.0,Rockdale Blackhawk   Little River Healthcare,2018.0,9.0,7.0,3.0,4.0,0,36.0,0,1,0,0,0,0,0,0,1
Port City Operating Company doing business as St. Joseph's Medical Center,CA,Healthcare Provider,4984.0,2018-08-31,Loss,Other Portable Electronic Device,Yes,"On August 9, 2018, the covered entity (CE), discovered that hard drives for two old laboratory machine analyzers, powered down for removal and replacement, were missing.  The missing hard drives contained the electronic protected health information (ePHI) of approximately 4,984 individuals, including names, dates of birth, genders, account information, lab tests performed, test results, and the names of the physicians who ordered the tests.  In response to the breach incident, the CE and its business associate, (BA), searched its facilities and interviewed its staff, but were unable to recover the missing hard drives.  The CE provided breach notification to HHS, affected individuals, and the media.  Following the breach, the CE ensured that its BA updated its policies and procedures and retrained workforce members.  OCR obtained assurances that the CE/BA implemented the corrective actions listed above.",0.0,1,0.0,0.0,0.0,1.0,0.0,Port City Operating Company doing business as St Josephs Medical Center,2018.0,8.0,31.0,3.0,4.0,0,35.0,0,0,0,0,0,1,0,1,0
First coast podiatric surgery and wound,FL,Business Associate,500.0,2018-08-27,Unauthorized Access/Disclosure,Network Server,Yes,"On August 16, 2018, First Coast Podiatric Surgery and Wound, the covered entity (“CE”), discovered that its billing software, managed by its business associate (“BA”), NextGen, had experienced an IT incident causing the log-in page for one clinic to show as the log-in page for other clinics. The CE initially reported that approximately 500 individuals were affected, but after further investigation, the CE concluded that no protected health information (PHI) was involved in the IT incident. Though an IT incident occurred, the log-in page still required authorized username and password information in order to access any PHI; and PHI was not at any time accessed by unauthorized individuals. Because the CE determined there was no reportable breach of PHI, and no affected individuals, it did not provide individual notification. OCR obtained assurances that no reportable breach occurred.",0.0,0,1.0,0.0,0.0,0.0,0.0,First coast podiatric surgery  wound,2018.0,8.0,27.0,3.0,0.0,0,35.0,0,0,0,0,1,0,0,1,0
"Wardell Orthopaedics, P.C.",VA,Healthcare Provider,552.0,2018-08-16,Unauthorized Access/Disclosure,Other,No,"A staff member inadvertently faxed 552 patients' billing statements to a law firm without an authorization when responding to a medical records request for two clients of the law firm.  The billing statements contained protected health information (PHI), specifically, names and diagnoses.  The covered entity (CE) provided breach notification to HHS, affected individuals, and the media.  Following the breach, the CE obtained verbal and written confirmation from the law firm that it shredded and/or permanently deleted all copies of the PHI.  OCR obtained assurances that the CE implemented the corrective actions listed above.  The staff member responsible for the faxing error is no longer employed at the CE.",0.0,1,1.0,0.0,0.0,0.0,0.0,Wardell Orthopaedics ,2018.0,8.0,16.0,3.0,3.0,0,33.0,0,0,0,0,0,0,0,0,1
"Anne Arundel Dermatology, P.A.",MD,Healthcare Provider,1310.0,2018-08-09,Theft,Paper/Films,No,"Burglars stole documents including patients’ protected health information (PHI) from a locked cabinet at Anne Arundel Dermatology, the covered entity (CE).  The breach affected approximately 1,324 individuals and  the types of PHI involved included names, addresses, bank account numbers, and clinical and diagnostic information. The CE provided reach notification to HHS, affected individuals, and the media.  Following the breach, the CE implemented additional physical safeguards. OCR reviewed the CE's policies and procedures to ensure compliance with the Privacy and Security Rules.",0.0,0,0.0,1.0,0.0,0.0,0.0,Anne Arundel Dermatology PA,2018.0,8.0,9.0,3.0,3.0,0,32.0,0,0,0,0,0,0,1,0,1
Kaiser Foundation Health Plan of Colorado,CO,Health Plan,900.0,2018-08-03,Unauthorized Access/Disclosure,Paper/Films,No,"On June 5, 2018, Kaiser Foundation Health Plan of Colorado, the covered entity (CE), discovered that due to an employee error in performing a mail merge, approximately 900 members’ names were mismatched with other members' addresses.  The types of protected health information (PHI) involved in the incident included members' names and the names of their former primary care physicians.  The CE provided breach notification to affected individuals, the media, and HHS.  Following the breach, the CE revised its mailing processes.  OCR obtained assurances that the CE implemented the voluntary corrective actions listed above.  The employee responsible for the breach is no longer employed with the CE.",0.0,0,1.0,0.0,0.0,0.0,0.0,Kaiser Foundation Health Plan of Colorado,2018.0,8.0,3.0,3.0,4.0,0,31.0,0,0,0,0,0,0,1,0,1
Southwestern Eye Center,AZ,Healthcare Provider,667.0,2018-08-01,Unauthorized Access/Disclosure,Paper/Films,No,"During a mass mailing of patient refund checks in April 2018, the covered entity’s (CE’s) business associate (BA) used an electronic mail merge and mixed up the names and addresses on patient refund checks mailed to 667 individuals.  The breach, reported to HHS on August 1, 2018, included demographic information. The CE provided breach notification to HHS, affected individuals and the media. OCR obtained assurances that the CE took voluntary corrective action by re-issuing and re-sending the patient refund checks correctly, terminating its contract with its BA, implementing random auditing of patient demographics on pending patient refund checks, and revising its procedure so that its accounting department reviews and validates patient refund checks prior to mailing. ",0.0,0,1.0,0.0,0.0,0.0,0.0,Southwestern Eye Center,2018.0,8.0,1.0,3.0,2.0,0,31.0,0,0,0,0,0,0,1,0,1
"Ambercare Corporation, Inc.",NM,Healthcare Provider,2284.0,2018-07-27,Theft,Laptop,No,"An unencrypted laptop was stolen from the vehicle of a workforce member of the covered entity (CE), Ambercare Corporation. The types of protected health information (PHI) potentially affected included the names, dates of birth, and treatment information of approximately 2,284 individuals. As a result of the breach, the CE improved safeguards, updated its policies and procedures, and trained its workforce members on better practices to safeguard PHI. Further, the CE provided breach notification to HHS, affected individuals, and the media. OCR obtained assurances that the CE implemented the corrective actions listed above.",0.0,0,0.0,1.0,0.0,0.0,0.0,Ambercare Corporation ,2018.0,7.0,27.0,3.0,4.0,0,30.0,0,0,0,1,0,0,0,0,1
Home for Little Wanderers,MA,Healthcare Provider,861.0,2018-07-03,Unauthorized Access/Disclosure,Paper/Films,No,"On May 4, 2018, someone used the key card of a former employee to access the records room, potentially affecting 861 individuals.  The type of protected health information (PHI) that was potentially exposed included demographic and clinical information.  The covered entity (CE), Home for Little Wanderers, provided breach notification to HHS, affected individuals, and the media.  Following the breach, the CE deactivated the key card, closed and processed records to send to its secure record storage vendor, and updated its employee termination policy.  The CE also began assessing potential improvements to improve internal security and limit employee access to records rooms.  OCR obtained assurances that the CE implemented the corrective actions noted above.",0.0,0,1.0,0.0,0.0,0.0,0.0,Home for Little Wanderers,2018.0,7.0,3.0,3.0,1.0,0,27.0,0,0,0,0,0,0,1,0,1
"Associated Dermatology & Skin Cancer Clinic of Helena, PC",MT,Healthcare Provider,1254.0,2018-06-28,Theft,Paper/Films,No,"On May 29, 2018, the covered entity (CE) discovered that an employee’s patient care journal was stolen from her car on May 26, 2018. According to the CE, unbeknownst to it and contrary to its written policies and procedures, its employee maintained a personal care log as a tool to help her track patients’ treatment and prepare for visits. The breach reportedly affected 1,254 individuals, and their unsecured protected health information (PHI) included demographic and clinical information.  The CE notified affected individuals, the media, and HHS.  OCR verified that the CE had proper HIPAA policies and procedures in place to restrict impermissible uses and disclosures of PHI and require employees to safeguard all PHI. The CE also issued a written warning to the responsible employee and required her to complete a HIPAA refresher course. 
",0.0,0,0.0,1.0,0.0,0.0,0.0,Associated Dermatology  Skin Cancer Clinic of Helena ,2018.0,6.0,28.0,2.0,3.0,0,26.0,0,0,0,0,0,0,1,0,1
